Time[Seconds]	In:V[Volts]	Out:V[Volts]
 0.00000000000e+000	 0.00000000000e+000	 4.99999982594e+000
 6.25000000000e-011	 6.25000000000e-002	 5.00377015126e+000
 6.87500000000e-010	 6.87500000000e-001	 4.85716825625e+000
 7.96421184646e-010	 7.96421184646e-001	 4.77413134662e+000
 1.21533172622e-009	 1.21533172622e+000	 4.33256221866e+000
 2.08116063170e-009	 2.08116063170e+000	 8.13583037740e-001
 2.20287190017e-009	 2.20287190017e+000	 4.83954088651e-001
 2.33028733586e-009	 2.33028733586e+000	 4.29602384865e-001
 2.65877524601e-009	 2.65877524601e+000	 2.91914831490e-001
 3.32387377858e-009	 3.32387377858e+000	 1.56032907887e-001
 4.67943484678e-009	 4.67943484678e+000	-2.06974598692e-003
 5.00000000000e-009	 5.00000000000e+000	 5.62238159397e-003
 5.50000000000e-009	 5.00000000000e+000	 6.16696335298e-005
 7.50000000000e-009	 5.00000000000e+000	-6.08991342692e-005
 9.50000000000e-009	 5.00000000000e+000	 6.03957490680e-005
 1.15000000000e-008	 5.00000000000e+000	-5.96477442196e-005
 1.35000000000e-008	 5.00000000000e+000	 5.91563211767e-005
 1.55000000000e-008	 5.00000000000e+000	-5.84215506381e-005
 1.75000000000e-008	 5.00000000000e+000	 5.79418617148e-005
 1.95000000000e-008	 5.00000000000e+000	-5.72200675752e-005
 2.15000000000e-008	 5.00000000000e+000	 5.67518874805e-005
 2.35000000000e-008	 5.00000000000e+000	-5.60428164672e-005
 2.55000000000e-008	 5.00000000000e+000	 5.55859238174e-005
 2.75000000000e-008	 5.00000000000e+000	-5.48893272274e-005
 2.95000000000e-008	 5.00000000000e+000	 5.44435044974e-005
 3.15000000000e-008	 5.00000000000e+000	-5.37591381298e-005
 3.35000000000e-008	 5.00000000000e+000	 5.33241716009e-005
 3.55000000000e-008	 5.00000000000e+000	-5.26517956914e-005
 3.75000000000e-008	 5.00000000000e+000	 5.22274754010e-005
 3.95000000000e-008	 5.00000000000e+000	-5.15668545541e-005
 4.15000000000e-008	 5.00000000000e+000	 5.11529742466e-005
 4.35000000000e-008	 5.00000000000e+000	-5.05038773702e-005
 4.55000000000e-008	 5.00000000000e+000	 5.01002344434e-005
 4.75000000000e-008	 5.00000000000e+000	-4.94624346838e-005
 4.95000000000e-008	 5.00000000000e+000	 4.90688301413e-005
 5.15000000000e-008	 5.00000000000e+000	-4.84421048172e-005
 5.35000000000e-008	 5.00000000000e+000	 4.80583432153e-005
 5.55000000000e-008	 5.00000000000e+000	-4.74424737531e-005
 5.75000000000e-008	 5.00000000000e+000	 4.70683631520e-005
 5.95000000000e-008	 5.00000000000e+000	-4.64631350216e-005
 6.15000000000e-008	 5.00000000000e+000	 4.60984869353e-005
 6.35000000000e-008	 5.00000000000e+000	-4.55036895876e-005
 6.55000000000e-008	 5.00000000000e+000	 4.51483189326e-005
 6.75000000000e-008	 5.00000000000e+000	-4.45637457348e-005
 6.95000000000e-008	 5.00000000000e+000	 4.42174707805e-005
 7.15000000000e-008	 5.00000000000e+000	-4.36429189537e-005
 7.35000000000e-008	 5.00000000000e+000	 4.33055612735e-005
 7.55000000000e-008	 5.00000000000e+000	-4.27408318313e-005
 7.75000000000e-008	 5.00000000000e+000	 4.24122162527e-005
 7.95000000000e-008	 5.00000000000e+000	-4.18571139395e-005
 8.15000000000e-008	 5.00000000000e+000	 4.15370684941e-005
 8.35000000000e-008	 5.00000000000e+000	-4.09914017240e-005
 8.55000000000e-008	 5.00000000000e+000	 4.06797576003e-005
 8.75000000000e-008	 5.00000000000e+000	-4.01433383969e-005
 8.95000000000e-008	 5.00000000000e+000	 3.98399298908e-005
 9.15000000000e-008	 5.00000000000e+000	-3.93125738277e-005
 9.35000000000e-008	 5.00000000000e+000	 3.90172382940e-005
 9.55000000000e-008	 5.00000000000e+000	-3.84987644359e-005
 9.75000000000e-008	 5.00000000000e+000	 3.82113422420e-005
 9.95000000000e-008	 5.00000000000e+000	-3.77015730856e-005
 1.00000000000e-007	 5.00000000000e+000	 3.63054582651e-005
 1.00500000000e-007	 4.50000000000e+000	 1.83256854027e-003
 1.02500000000e-007	 2.50000000000e+000	 3.38463580239e-001
 1.04500000000e-007	 5.00000000000e-001	 4.90334755833e+000
 1.05000000000e-007	 0.00000000000e+000	 5.04093957353e+000
 1.05500000000e-007	 0.00000000000e+000	 5.00119385035e+000
 1.07500000000e-007	 0.00000000000e+000	 4.99884088347e+000
 1.09500000000e-007	 0.00000000000e+000	 5.00112339975e+000
 1.11500000000e-007	 0.00000000000e+000	 4.99891071930e+000
 1.13500000000e-007	 0.00000000000e+000	 5.00105560784e+000
 1.15500000000e-007	 0.00000000000e+000	 4.99897643079e+000
 1.17500000000e-007	 0.00000000000e+000	 5.00099182877e+000
 1.19500000000e-007	 0.00000000000e+000	 4.99903825268e+000
 1.21500000000e-007	 0.00000000000e+000	 5.00093183410e+000
 1.23500000000e-007	 0.00000000000e+000	 4.99909640638e+000
 1.25500000000e-007	 0.00000000000e+000	 5.00087540732e+000
 1.27500000000e-007	 0.00000000000e+000	 4.99915110176e+000
 1.29500000000e-007	 0.00000000000e+000	 5.00082234335e+000
 1.31500000000e-007	 0.00000000000e+000	 4.99920253758e+000
 1.33500000000e-007	 0.00000000000e+000	 5.00077244806e+000
 1.35500000000e-007	 0.00000000000e+000	 4.99925090200e+000
 1.37500000000e-007	 0.00000000000e+000	 5.00072553781e+000
 1.39500000000e-007	 0.00000000000e+000	 4.99929637302e+000
 1.41500000000e-007	 0.00000000000e+000	 5.00068143892e+000
 1.43500000000e-007	 0.00000000000e+000	 4.99933911898e+000
 1.45500000000e-007	 0.00000000000e+000	 5.00063998725e+000
 1.47500000000e-007	 0.00000000000e+000	 4.99937929898e+000
 1.49500000000e-007	 0.00000000000e+000	 5.00060102772e+000
 1.51500000000e-007	 0.00000000000e+000	 4.99941591735e+000
 1.53500000000e-007	 0.00000000000e+000	 5.00056552444e+000
 1.55500000000e-007	 0.00000000000e+000	 4.99945042388e+000
 1.57500000000e-007	 0.00000000000e+000	 5.00053207205e+000
 1.59500000000e-007	 0.00000000000e+000	 4.99948293430e+000
 1.61500000000e-007	 0.00000000000e+000	 5.00050055731e+000
 1.63500000000e-007	 0.00000000000e+000	 4.99951355913e+000
 1.65500000000e-007	 0.00000000000e+000	 5.00047087267e+000
 1.67500000000e-007	 0.00000000000e+000	 4.99954240332e+000
 1.69500000000e-007	 0.00000000000e+000	 5.00044291598e+000
 1.71500000000e-007	 0.00000000000e+000	 4.99956956653e+000
 1.73500000000e-007	 0.00000000000e+000	 5.00041659032e+000
 1.75500000000e-007	 0.00000000000e+000	 4.99959514324e+000
 1.77500000000e-007	 0.00000000000e+000	 5.00039180380e+000
 1.79500000000e-007	 0.00000000000e+000	 4.99961922307e+000
 1.81500000000e-007	 0.00000000000e+000	 5.00036846931e+000
 1.83500000000e-007	 0.00000000000e+000	 4.99964189089e+000
 1.85500000000e-007	 0.00000000000e+000	 5.00034650435e+000
 1.87500000000e-007	 0.00000000000e+000	 4.99966322710e+000
 1.89500000000e-007	 0.00000000000e+000	 5.00032583081e+000
 1.91500000000e-007	 0.00000000000e+000	 4.99968330779e+000
 1.93500000000e-007	 0.00000000000e+000	 5.00030637475e+000
 1.95500000000e-007	 0.00000000000e+000	 4.99970220495e+000
 1.97500000000e-007	 0.00000000000e+000	 5.00028806627e+000
 1.99500000000e-007	 0.00000000000e+000	 4.99971998666e+000
 2.00000000000e-007	 0.00000000000e+000	 5.00024565124e+000
 2.00500000000e-007	 5.00000000000e-001	 4.96856627330e+000
 2.00603889071e-007	 6.03889070669e-001	 4.92347310961e+000
 2.01152270829e-007	 1.15227082894e+000	 4.40708623037e+000
 2.02216644557e-007	 2.21664455701e+000	 5.35695009303e-001
 2.02353459376e-007	 2.35345937554e+000	 3.83419523283e-001
 2.02564187290e-007	 2.56418729021e+000	 3.46667777670e-001
 2.03224860979e-007	 3.22486097899e+000	 1.54809191416e-001
 2.04358070807e-007	 4.35807080694e+000	 2.80282359682e-002
 2.05000000000e-007	 5.00000000000e+000	-1.27774244111e-002
 2.05500000000e-007	 5.00000000000e+000	-1.27475029115e-004
 2.07500000000e-007	 5.00000000000e+000	 1.26359321822e-004
 2.09500000000e-007	 5.00000000000e+000	-1.24919907502e-004
 2.11500000000e-007	 5.00000000000e+000	 1.23697115622e-004
 2.13500000000e-007	 5.00000000000e+000	-1.22285141065e-004
 2.15500000000e-007	 5.00000000000e+000	 1.21209634196e-004
 2.17500000000e-007	 5.00000000000e+000	-1.19823284901e-004
 2.19500000000e-007	 5.00000000000e+000	 1.18770166858e-004
 2.21500000000e-007	 5.00000000000e+000	-1.17409008410e-004
 2.23500000000e-007	 5.00000000000e+000	 1.16377891584e-004
 2.25500000000e-007	 5.00000000000e+000	-1.15041470382e-004
 2.27500000000e-007	 5.00000000000e+000	 1.14031972220e-004
 2.29500000000e-007	 5.00000000000e+000	-1.12719841351e-004
 2.31500000000e-007	 5.00000000000e+000	 1.11731584355e-004
 2.33500000000e-007	 5.00000000000e+000	-1.10443303556e-004
 2.35500000000e-007	 5.00000000000e+000	 1.09475915279e-004
 2.37500000000e-007	 5.00000000000e+000	-1.08211050894e-004
 2.39500000000e-007	 5.00000000000e+000	 1.07264163942e-004
 2.41500000000e-007	 5.00000000000e+000	-1.06022288884e-004
 2.43500000000e-007	 5.00000000000e+000	 1.05095540906e-004
 2.45500000000e-007	 5.00000000000e+000	-1.03876234606e-004
 2.47500000000e-007	 5.00000000000e+000	 1.02969268286e-004
 2.49500000000e-007	 5.00000000000e+000	-1.01772116651e-004
 2.51500000000e-007	 5.00000000000e+000	 1.00884579698e-004
 2.53500000000e-007	 5.00000000000e+000	-9.97091750547e-005
 2.55500000000e-007	 5.00000000000e+000	 9.88407201823e-005
 2.57500000000e-007	 5.00000000000e+000	-9.76866612318e-005
 2.59500000000e-007	 5.00000000000e+000	 9.68369461451e-005
 2.61500000000e-007	 5.00000000000e+000	-9.57038379061e-005
 2.63500000000e-007	 5.00000000000e+000	 9.48725252778e-005
 2.65500000000e-007	 5.00000000000e+000	-9.37599790320e-005
 2.67500000000e-007	 5.00000000000e+000	 9.29467364814e-005
 2.69500000000e-007	 5.00000000000e+000	-9.18543697184e-005
 2.71500000000e-007	 5.00000000000e+000	 9.10588697840e-005
 2.73500000000e-007	 5.00000000000e+000	-8.99863061414e-005
 2.75500000000e-007	 5.00000000000e+000	 8.92082262557e-005
 2.77500000000e-007	 5.00000000000e+000	-8.81550954619e-005
 2.79500000000e-007	 5.00000000000e+000	 8.73941179201e-005
 2.81500000000e-007	 5.00000000000e+000	-8.63600557324e-005
 2.83500000000e-007	 5.00000000000e+000	 8.56158676619e-005
 2.85500000000e-007	 5.00000000000e+000	-8.46005158052e-005
 2.87500000000e-007	 5.00000000000e+000	 8.38728091317e-005
 2.89500000000e-007	 5.00000000000e+000	-8.28758152364e-005
 2.91500000000e-007	 5.00000000000e+000	 8.21642866495e-005
 2.93500000000e-007	 5.00000000000e+000	-8.11853041878e-005
 2.95500000000e-007	 5.00000000000e+000	 8.04896551036e-005
 2.97500000000e-007	 5.00000000000e+000	-7.95283433248e-005
 2.99500000000e-007	 5.00000000000e+000	 7.88482798488e-005
 3.00000000000e-007	 5.00000000000e+000	-7.53413496660e-005
 3.00500000000e-007	 4.50000000000e+000	 1.83326800347e-003
 3.02500000000e-007	 2.50000000000e+000	 3.38462645604e-001
 3.04500000000e-007	 5.00000000000e-001	 4.90334962170e+000
 3.05000000000e-007	 0.00000000000e+000	 5.04093778743e+000
 3.05500000000e-007	 0.00000000000e+000	 5.00119379809e+000
 3.07500000000e-007	 0.00000000000e+000	 4.99884093424e+000
 3.09500000000e-007	 0.00000000000e+000	 5.00112335046e+000
 3.11500000000e-007	 0.00000000000e+000	 4.99891076708e+000
 3.13500000000e-007	 0.00000000000e+000	 5.00105556146e+000
 3.15500000000e-007	 0.00000000000e+000	 4.99897647574e+000
 3.17500000000e-007	 0.00000000000e+000	 5.00099178515e+000
 3.19500000000e-007	 0.00000000000e+000	 4.99903829497e+000
 3.21500000000e-007	 0.00000000000e+000	 5.00093179307e+000
 3.23500000000e-007	 0.00000000000e+000	 4.99909644616e+000
 3.25500000000e-007	 0.00000000000e+000	 5.00087536873e+000
 3.27500000000e-007	 0.00000000000e+000	 4.99915113917e+000
 3.29500000000e-007	 0.00000000000e+000	 5.00082230706e+000
 3.31500000000e-007	 0.00000000000e+000	 4.99920257276e+000
 3.33500000000e-007	 0.00000000000e+000	 5.00077241394e+000
 3.35500000000e-007	 0.00000000000e+000	 4.99925093507e+000
 3.37500000000e-007	 0.00000000000e+000	 5.00072550573e+000
 3.39500000000e-007	 0.00000000000e+000	 4.99929640411e+000
 3.41500000000e-007	 0.00000000000e+000	 5.00068140877e+000
 3.43500000000e-007	 0.00000000000e+000	 4.99933914821e+000
 3.45500000000e-007	 0.00000000000e+000	 5.00063995891e+000
 3.47500000000e-007	 0.00000000000e+000	 4.99937932645e+000
 3.49500000000e-007	 0.00000000000e+000	 5.00060100108e+000
 3.51500000000e-007	 0.00000000000e+000	 4.99941594324e+000
 3.53500000000e-007	 0.00000000000e+000	 5.00056549934e+000
 3.55500000000e-007	 0.00000000000e+000	 4.99945044828e+000
 3.57500000000e-007	 0.00000000000e+000	 5.00053204840e+000
 3.59500000000e-007	 0.00000000000e+000	 4.99948295728e+000
 3.61500000000e-007	 0.00000000000e+000	 5.00050053504e+000
 3.63500000000e-007	 0.00000000000e+000	 4.99951358077e+000
 3.65500000000e-007	 0.00000000000e+000	 5.00047085169e+000
 3.67500000000e-007	 0.00000000000e+000	 4.99954242371e+000
 3.69500000000e-007	 0.00000000000e+000	 5.00044289622e+000
 3.71500000000e-007	 0.00000000000e+000	 4.99956958572e+000
 3.73500000000e-007	 0.00000000000e+000	 5.00041657172e+000
 3.75500000000e-007	 0.00000000000e+000	 4.99959516132e+000
 3.77500000000e-007	 0.00000000000e+000	 5.00039178629e+000
 3.79500000000e-007	 0.00000000000e+000	 4.99961924008e+000
 3.81500000000e-007	 0.00000000000e+000	 5.00036845283e+000
 3.83500000000e-007	 0.00000000000e+000	 4.99964190691e+000
 3.85500000000e-007	 0.00000000000e+000	 5.00034648883e+000
 3.87500000000e-007	 0.00000000000e+000	 4.99966324218e+000
 3.89500000000e-007	 0.00000000000e+000	 5.00032581620e+000
 3.91500000000e-007	 0.00000000000e+000	 4.99968332198e+000
 3.93500000000e-007	 0.00000000000e+000	 5.00030636101e+000
 3.95500000000e-007	 0.00000000000e+000	 4.99970221830e+000
 3.97500000000e-007	 0.00000000000e+000	 5.00028805333e+000
 3.99500000000e-007	 0.00000000000e+000	 4.99971999922e+000
 4.00000000000e-007	 0.00000000000e+000	 5.00024564020e+000
 4.00500000000e-007	 5.00000000000e-001	 4.96856627299e+000
 4.00603889070e-007	 6.03889070055e-001	 4.92347311015e+000
 4.01152270830e-007	 1.15227083032e+000	 4.40708622862e+000
 4.02216644560e-007	 2.21664455995e+000	 5.35695006866e-001
 4.02353459379e-007	 2.35345937865e+000	 3.83419521790e-001
 4.02564187294e-007	 2.56418729424e+000	 3.46667776394e-001
 4.03224860988e-007	 3.22486098788e+000	 1.54809189711e-001
 4.04358070823e-007	 4.35807082289e+000	 2.80282348854e-002
 4.05000000000e-007	 5.00000000000e+000	-1.27774244989e-002
 4.05500000000e-007	 5.00000000000e+000	-1.27475029992e-004
 4.07500000000e-007	 5.00000000000e+000	 1.26359322692e-004
 4.09500000000e-007	 5.00000000000e+000	-1.24919908363e-004
 4.11500000000e-007	 5.00000000000e+000	 1.23697116474e-004
 4.13500000000e-007	 5.00000000000e+000	-1.22285141909e-004
 4.15500000000e-007	 5.00000000000e+000	 1.21209635031e-004
 4.17500000000e-007	 5.00000000000e+000	-1.19823285728e-004
 4.19500000000e-007	 5.00000000000e+000	 1.18770167677e-004
 4.21500000000e-007	 5.00000000000e+000	-1.17409009221e-004
 4.23500000000e-007	 5.00000000000e+000	 1.16377892387e-004
 4.25500000000e-007	 5.00000000000e+000	-1.15041471177e-004
 4.27500000000e-007	 5.00000000000e+000	 1.14031973009e-004
 4.29500000000e-007	 5.00000000000e+000	-1.12719842131e-004
 4.31500000000e-007	 5.00000000000e+000	 1.11731585129e-004
 4.33500000000e-007	 5.00000000000e+000	-1.10443304321e-004
 4.35500000000e-007	 5.00000000000e+000	 1.09475916037e-004
 4.37500000000e-007	 5.00000000000e+000	-1.08211051644e-004
 4.39500000000e-007	 5.00000000000e+000	 1.07264164686e-004
 4.41500000000e-007	 5.00000000000e+000	-1.06022289620e-004
 4.43500000000e-007	 5.00000000000e+000	 1.05095541635e-004
 4.45500000000e-007	 5.00000000000e+000	-1.03876235328e-004
 4.47500000000e-007	 5.00000000000e+000	 1.02969269002e-004
 4.49500000000e-007	 5.00000000000e+000	-1.01772117359e-004
 4.51500000000e-007	 5.00000000000e+000	 1.00884580399e-004
 4.53500000000e-007	 5.00000000000e+000	-9.97091757490e-005
 4.55500000000e-007	 5.00000000000e+000	 9.88407208702e-005
 4.57500000000e-007	 5.00000000000e+000	-9.76866619126e-005
 4.59500000000e-007	 5.00000000000e+000	 9.68369468197e-005
 4.61500000000e-007	 5.00000000000e+000	-9.57038385733e-005
 4.63500000000e-007	 5.00000000000e+000	 9.48725259389e-005
 4.65500000000e-007	 5.00000000000e+000	-9.37599796860e-005
 4.67500000000e-007	 5.00000000000e+000	 9.29467371292e-005
 4.69500000000e-007	 5.00000000000e+000	-9.18543703591e-005
 4.71500000000e-007	 5.00000000000e+000	 9.10588704188e-005
 4.73500000000e-007	 5.00000000000e+000	-8.99863067695e-005
 4.75500000000e-007	 5.00000000000e+000	 8.92082268782e-005
 4.77500000000e-007	 5.00000000000e+000	-8.81550960780e-005
 4.79500000000e-007	 5.00000000000e+000	 8.73941185306e-005
 4.81500000000e-007	 5.00000000000e+000	-8.63600563367e-005
 4.83500000000e-007	 5.00000000000e+000	 8.56158682607e-005
 4.85500000000e-007	 5.00000000000e+000	-8.46005163978e-005
 4.87500000000e-007	 5.00000000000e+000	 8.38728097190e-005
 4.89500000000e-007	 5.00000000000e+000	-8.28758158177e-005
 4.91500000000e-007	 5.00000000000e+000	 8.21642872251e-005
 4.93500000000e-007	 5.00000000000e+000	-8.11853047575e-005
 4.95500000000e-007	 5.00000000000e+000	 8.04896556680e-005
 4.97500000000e-007	 5.00000000000e+000	-7.95283438833e-005
